case_id,dispute_reason,order_amount_inr,avs_match,cvv_match,delivery_confirmed,signature_or_otp_confirmed,device_matches_prior_orders,no_prior_dispute_history,is_genuinely_legit,would_win_if_fought
CB-1000,unauthorized,779.37,True,True,True,True,True,True,1,0
CB-1001,unauthorized,814.17,True,True,False,False,False,False,0,0
CB-1002,unauthorized,11480.3,False,True,True,False,False,True,0,0
CB-1003,unauthorized,5033.71,True,True,True,True,True,True,1,1
CB-1004,item_not_received,849.71,True,False,False,True,False,True,0,0
CB-1005,unauthorized,1026.13,True,True,True,True,True,True,1,1
CB-1006,item_not_received,223.52,False,False,False,False,True,True,0,0
CB-1007,not_as_described,2210.35,False,True,True,False,True,True,1,1
CB-1008,unauthorized,376.64,True,True,True,True,True,True,1,0
CB-1009,unauthorized,1580.44,False,True,True,False,False,True,1,0
CB-1010,unauthorized,1702.51,True,False,False,False,True,True,1,0
CB-1011,unauthorized,192.4,True,True,True,False,True,True,1,1
CB-1012,duplicate_charge,3565.81,True,True,True,True,True,False,1,1
CB-1013,item_not_received,3434.23,True,True,False,True,True,True,1,0
CB-1014,unauthorized,2165.65,True,True,True,True,True,True,1,1
CB-1015,unauthorized,2158.31,True,True,False,False,False,False,0,0
CB-1016,item_not_received,1067.27,True,True,True,True,False,False,0,0
CB-1017,unauthorized,2850.19,True,True,True,False,True,True,1,1
CB-1018,not_as_described,1635.15,True,True,False,True,False,True,1,0
CB-1019,duplicate_charge,1229.77,True,True,True,True,True,True,1,1
CB-1020,item_not_received,691.98,False,True,True,True,True,True,1,1
CB-1021,not_as_described,840.69,True,True,True,True,True,True,1,1
CB-1022,item_not_received,1182.38,False,False,False,False,False,True,0,0
CB-1023,unauthorized,4206.25,False,True,False,True,False,True,1,1
CB-1024,unauthorized,2536.34,True,False,False,True,False,True,0,0
CB-1025,item_not_received,400.24,True,True,True,True,True,True,1,1
CB-1026,unauthorized,3948.79,True,True,False,True,True,True,1,1
CB-1027,unauthorized,4161.16,True,True,False,True,True,True,1,0
CB-1028,not_as_described,1441.99,False,True,True,False,False,False,1,0
CB-1029,not_as_described,3060.11,False,True,True,False,False,True,0,0
CB-1030,not_as_described,470.39,False,False,True,False,False,True,0,0
CB-1031,item_not_received,505.9,True,True,False,False,False,False,0,1
CB-1032,unauthorized,463.03,True,True,True,True,True,True,1,1
CB-1033,unauthorized,2663.22,False,True,True,False,True,True,1,1
CB-1034,item_not_received,1791.01,True,False,True,False,True,False,1,0
CB-1035,unauthorized,147.4,True,True,False,False,False,False,0,0
CB-1036,unauthorized,1134.88,True,True,False,False,False,False,0,0
CB-1037,item_not_received,240.34,False,False,False,False,False,False,0,0
CB-1038,unauthorized,1796.19,True,True,False,True,False,False,0,0
CB-1039,not_as_described,1074.97,True,True,True,True,True,True,1,1
CB-1040,unauthorized,2749.4,True,True,True,True,False,True,0,1
CB-1041,not_as_described,1114.3,False,True,True,False,False,False,0,1
CB-1042,unauthorized,1202.53,True,True,True,False,False,True,1,1
CB-1043,item_not_received,3786.93,False,True,False,False,False,False,0,1
CB-1044,item_not_received,9173.13,False,False,False,False,True,True,1,0
CB-1045,unauthorized,1619.17,True,True,True,False,False,False,0,0
CB-1046,unauthorized,5695.45,True,True,False,False,True,True,0,0
CB-1047,unauthorized,10942.65,True,True,False,False,False,False,0,0
CB-1048,unauthorized,2853.27,True,True,True,False,True,True,1,1
CB-1049,not_as_described,460.9,True,True,False,True,True,True,1,1
CB-1050,item_not_received,2923.23,True,True,True,False,True,True,1,1
CB-1051,unauthorized,809.24,True,True,True,False,False,True,1,1
CB-1052,not_as_described,1208.0,False,True,True,False,True,False,0,0
CB-1053,item_not_received,3898.43,True,True,True,True,True,True,1,1
CB-1054,unauthorized,1801.44,True,True,True,False,False,True,1,1
CB-1055,not_as_described,768.8,True,True,True,False,False,True,1,1
CB-1056,duplicate_charge,254.16,True,True,False,True,False,True,1,0
CB-1057,unauthorized,3003.79,False,True,True,False,False,False,0,0
CB-1058,unauthorized,1160.32,True,True,True,True,True,True,1,1
CB-1059,unauthorized,1621.32,True,True,False,True,False,False,0,0
CB-1060,unauthorized,373.44,False,True,True,True,False,False,0,0
CB-1061,item_not_received,405.9,True,True,True,True,False,True,1,0
CB-1062,item_not_received,2321.27,False,True,True,False,True,True,0,0
CB-1063,unauthorized,855.25,True,False,False,False,False,False,0,0
CB-1064,not_as_described,1681.73,True,True,False,False,False,True,0,0
CB-1065,item_not_received,2101.55,True,False,False,False,True,False,1,1
CB-1066,item_not_received,5208.14,False,True,True,True,False,True,1,1
CB-1067,item_not_received,5544.31,False,False,True,False,True,False,0,0
CB-1068,unauthorized,501.18,True,True,True,False,False,True,0,0
CB-1069,unauthorized,256.47,False,True,False,False,True,True,0,0
CB-1070,unauthorized,1107.89,True,True,False,True,True,True,1,1
CB-1071,item_not_received,2003.9,True,True,True,True,True,True,1,1
CB-1072,duplicate_charge,579.19,True,True,True,True,True,False,1,0
CB-1073,not_as_described,4068.01,True,True,True,True,True,False,1,1
CB-1074,not_as_described,1334.5,True,True,True,False,True,True,1,1
CB-1075,item_not_received,1556.14,False,True,True,False,False,True,0,0
CB-1076,item_not_received,1299.56,True,True,True,False,True,True,1,1
CB-1077,not_as_described,1391.42,True,True,True,True,True,True,1,0
CB-1078,unauthorized,1435.59,True,False,False,False,False,True,1,0
CB-1079,not_as_described,1810.68,True,True,False,True,True,True,1,1
CB-1080,unauthorized,990.6,False,True,True,False,True,True,1,1
CB-1081,not_as_described,1154.68,False,True,True,True,True,True,1,1
CB-1082,not_as_described,2673.5,False,True,False,True,False,True,0,0
CB-1083,unauthorized,1680.82,True,False,False,False,False,False,0,0
CB-1084,unauthorized,2278.36,True,True,True,False,True,True,1,0
CB-1085,unauthorized,1839.4,True,True,True,False,True,True,1,0
CB-1086,item_not_received,905.18,False,True,False,True,True,False,0,0
CB-1087,item_not_received,2395.25,True,True,True,True,True,True,1,1
CB-1088,not_as_described,693.57,False,True,True,False,False,True,0,0
CB-1089,unauthorized,3229.15,False,True,True,True,False,True,0,0
CB-1090,unauthorized,160.01,True,True,False,False,False,False,0,0
CB-1091,not_as_described,3338.97,False,True,True,False,True,False,0,0
CB-1092,unauthorized,600.68,True,True,True,True,False,True,1,1
CB-1093,unauthorized,3532.19,True,False,False,False,False,False,0,1
CB-1094,unauthorized,989.9,True,True,False,True,False,True,0,0
CB-1095,not_as_described,1171.04,True,True,False,True,False,False,0,0
CB-1096,unauthorized,803.04,True,True,False,True,True,True,1,1
CB-1097,unauthorized,496.68,False,False,False,False,False,False,0,0
CB-1098,unauthorized,10631.96,False,True,False,False,True,True,0,0
CB-1099,unauthorized,2395.19,True,True,True,False,True,True,1,1
CB-1100,unauthorized,555.31,True,True,True,False,True,True,1,0
CB-1101,not_as_described,260.73,True,True,True,True,True,True,1,0
CB-1102,item_not_received,2174.42,True,True,False,True,False,False,0,0
CB-1103,item_not_received,956.1,True,True,False,False,False,True,0,0
CB-1104,item_not_received,1958.43,True,True,True,False,False,True,1,1
CB-1105,unauthorized,2224.66,False,True,False,False,False,True,1,1
CB-1106,unauthorized,9597.23,False,True,False,False,False,True,0,0
CB-1107,item_not_received,2810.02,True,False,True,False,True,True,1,1
CB-1108,item_not_received,309.59,False,True,False,False,True,True,0,0
CB-1109,item_not_received,4124.11,False,True,False,True,True,False,1,1
CB-1110,item_not_received,816.96,True,False,True,True,False,False,0,0
CB-1111,unauthorized,931.47,True,True,False,False,False,False,0,0
CB-1112,not_as_described,23912.49,True,True,True,True,False,False,1,1
CB-1113,item_not_received,1363.63,True,True,True,True,False,True,1,1
CB-1114,unauthorized,597.4,True,True,True,True,False,True,1,1
CB-1115,item_not_received,356.74,False,True,False,False,False,True,0,0
CB-1116,not_as_described,688.78,True,True,False,False,True,True,1,1
CB-1117,item_not_received,539.1,True,True,True,True,True,True,1,1
CB-1118,not_as_described,5174.13,False,True,False,False,True,False,1,1
CB-1119,item_not_received,1232.22,True,False,True,False,False,True,0,0
CB-1120,unauthorized,4841.62,True,True,False,True,False,False,0,0
CB-1121,item_not_received,6472.38,True,True,False,True,True,True,1,1
CB-1122,unauthorized,329.95,True,True,True,False,False,True,0,0
CB-1123,item_not_received,373.86,False,True,False,False,False,True,0,0
CB-1124,item_not_received,341.64,True,False,True,True,True,True,0,0
CB-1125,not_as_described,536.79,False,True,True,False,True,True,1,1
CB-1126,item_not_received,3248.04,True,True,True,True,True,True,1,1
CB-1127,unauthorized,614.14,True,False,True,True,False,True,1,1
CB-1128,item_not_received,731.93,False,False,False,False,True,True,0,0
CB-1129,item_not_received,1229.5,True,True,True,True,False,False,0,0
CB-1130,unauthorized,1902.95,True,True,True,True,True,True,1,1
CB-1131,not_as_described,551.47,True,False,False,False,False,True,0,0
CB-1132,unauthorized,2345.78,True,False,True,True,True,True,1,1
CB-1133,unauthorized,187.15,True,True,True,False,False,True,0,0
CB-1134,unauthorized,11063.83,True,True,False,False,True,True,0,0
CB-1135,not_as_described,6304.69,True,True,True,False,True,True,1,1
CB-1136,item_not_received,2238.84,True,True,False,True,True,True,1,1
CB-1137,not_as_described,5058.76,False,True,False,True,False,False,0,0
CB-1138,item_not_received,2224.22,True,False,True,False,False,True,0,0
CB-1139,item_not_received,1248.09,True,True,False,False,False,True,0,0
CB-1140,unauthorized,663.64,False,True,True,False,False,False,0,0
CB-1141,unauthorized,4022.38,True,True,False,False,True,True,1,1
CB-1142,item_not_received,198.4,True,True,True,False,True,True,0,0
CB-1143,item_not_received,2987.63,True,True,True,False,True,True,1,1
CB-1144,item_not_received,1320.91,False,True,True,True,False,True,0,0
CB-1145,item_not_received,21497.97,True,True,False,False,True,True,0,0
CB-1146,item_not_received,714.03,True,True,False,True,True,True,1,1
CB-1147,unauthorized,5255.51,True,True,False,True,True,True,1,1
CB-1148,item_not_received,5043.34,True,True,False,False,True,True,1,0
CB-1149,item_not_received,389.59,True,True,True,True,True,False,1,1
CB-1150,item_not_received,1896.48,True,True,True,True,True,False,1,1
CB-1151,unauthorized,359.92,True,True,False,False,False,False,0,0
CB-1152,item_not_received,661.78,True,True,True,False,True,True,1,1
CB-1153,unauthorized,2075.12,False,True,True,True,True,True,1,1
