graph_cluster_id,size,suspicion_score,recommended_action,reasons,signup_spread_days,avg_txn_velocity_7d
CLUSTER-0000,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0001,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0002,2,0.415,accept,['All accounts opened within 0 day(s) of each other — signup burst'],0.0,2.5
CLUSTER-0003,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0004,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0005,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0006,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0007,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0008,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0009,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0010,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0011,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0012,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0013,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0014,9,0.6108,manual_review,"['9 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst', 'Average 10.0 transactions in first 7 days — elevated cash-out velocity']",2.0,10.0
CLUSTER-0015,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0016,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0017,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0018,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0019,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0020,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0021,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0022,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0023,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0024,12,0.575,manual_review,"['12 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst', 'Average 8.8 transactions in first 7 days — elevated cash-out velocity']",2.0,8.833333333333334
CLUSTER-0025,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0026,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0027,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0028,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0029,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0030,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0031,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0032,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0033,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0034,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0035,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0036,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0037,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0038,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0039,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0040,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0041,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0042,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0043,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0044,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0045,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0046,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0047,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0048,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0049,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0050,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0051,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0052,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0053,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0054,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0055,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0056,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0057,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0058,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0059,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0060,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0061,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0062,8,0.24,accept,['8 accounts share infrastructure — larger than a typical shared-device household'],5.0,4.0
CLUSTER-0063,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0064,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0065,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0066,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0067,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0068,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0069,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0070,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0071,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0072,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0073,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0074,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0075,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0076,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0077,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0078,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0079,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0080,11,0.5379,manual_review,"['11 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst', 'Average 8.1 transactions in first 7 days — elevated cash-out velocity']",2.0,8.090909090909092
CLUSTER-0081,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0082,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0083,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0084,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0085,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0086,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0087,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0088,12,0.5042,manual_review,"['12 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst']",2.0,7.416666666666667
CLUSTER-0089,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0090,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0091,2,0.2817,accept,['All accounts opened within 1 day(s) of each other — signup burst'],1.0,1.5
CLUSTER-0092,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0093,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0094,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0095,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0096,5,0.3808,accept,"['5 accounts share infrastructure — larger than a typical shared-device household', 'All accounts opened within 2 day(s) of each other — signup burst', 'Average 8.4 transactions in first 7 days — elevated cash-out velocity']",2.0,8.4
CLUSTER-0097,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0098,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0099,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0100,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0101,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0102,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0103,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0104,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0105,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0106,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0107,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0108,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0109,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
CLUSTER-0110,1,0.0,accept,['Single account — no shared-infrastructure cluster'],,
