account_id,graph_cluster_id,cluster_size,suspicion_score,predicted_flag,is_fraud_ring_member,cluster_type
ACCT-001072,CLUSTER-0000,1,0.0,0,0,none
ACCT-002714,CLUSTER-0001,1,0.0,0,0,none
ACCT-003024,CLUSTER-0002,2,0.415,0,0,legit_shared_device
ACCT-003025,CLUSTER-0002,2,0.415,0,0,legit_shared_device
ACCT-002648,CLUSTER-0003,1,0.0,0,0,none
ACCT-001415,CLUSTER-0004,1,0.0,0,0,none
ACCT-000545,CLUSTER-0005,1,0.0,0,0,none
ACCT-001904,CLUSTER-0006,1,0.0,0,0,none
ACCT-000753,CLUSTER-0007,1,0.0,0,0,none
ACCT-002523,CLUSTER-0008,1,0.0,0,0,none
ACCT-000422,CLUSTER-0009,1,0.0,0,0,none
ACCT-002766,CLUSTER-0010,1,0.0,0,0,none
ACCT-002537,CLUSTER-0011,1,0.0,0,0,none
ACCT-001001,CLUSTER-0012,1,0.0,0,0,none
ACCT-001319,CLUSTER-0013,1,0.0,0,0,none
ACCT-003195,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003196,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003197,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003198,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003199,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003200,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003201,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003202,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-003203,CLUSTER-0014,9,0.6108,1,1,fraud_ring
ACCT-000853,CLUSTER-0015,1,0.0,0,0,none
ACCT-002070,CLUSTER-0016,1,0.0,0,0,none
ACCT-000723,CLUSTER-0017,1,0.0,0,0,none
ACCT-002426,CLUSTER-0018,1,0.0,0,0,none
ACCT-002485,CLUSTER-0019,1,0.0,0,0,none
ACCT-001035,CLUSTER-0020,1,0.0,0,0,none
ACCT-002012,CLUSTER-0021,1,0.0,0,0,none
ACCT-000229,CLUSTER-0022,1,0.0,0,0,none
ACCT-001738,CLUSTER-0023,1,0.0,0,0,none
ACCT-003253,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003254,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003255,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003256,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003257,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003258,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003259,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003260,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003261,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003262,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003263,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-003264,CLUSTER-0024,12,0.575,1,1,fraud_ring
ACCT-000929,CLUSTER-0025,1,0.0,0,0,none
ACCT-000630,CLUSTER-0026,1,0.0,0,0,none
ACCT-002849,CLUSTER-0027,1,0.0,0,0,none
ACCT-001517,CLUSTER-0028,1,0.0,0,0,none
ACCT-002483,CLUSTER-0029,1,0.0,0,0,none
ACCT-000576,CLUSTER-0030,1,0.0,0,0,none
ACCT-001177,CLUSTER-0031,1,0.0,0,0,none
ACCT-002909,CLUSTER-0032,1,0.0,0,0,none
ACCT-002782,CLUSTER-0033,1,0.0,0,0,none
ACCT-001048,CLUSTER-0034,1,0.0,0,0,none
ACCT-000942,CLUSTER-0035,1,0.0,0,0,none
ACCT-000930,CLUSTER-0036,1,0.0,0,0,none
ACCT-002657,CLUSTER-0037,1,0.0,0,0,none
ACCT-000699,CLUSTER-0038,1,0.0,0,0,none
ACCT-001099,CLUSTER-0039,1,0.0,0,0,none
ACCT-000348,CLUSTER-0040,1,0.0,0,0,none
ACCT-002239,CLUSTER-0041,1,0.0,0,0,none
ACCT-000143,CLUSTER-0042,1,0.0,0,0,none
ACCT-002249,CLUSTER-0043,1,0.0,0,0,none
ACCT-000580,CLUSTER-0044,1,0.0,0,0,none
ACCT-002131,CLUSTER-0045,1,0.0,0,0,none
ACCT-002154,CLUSTER-0046,1,0.0,0,0,none
ACCT-000170,CLUSTER-0047,1,0.0,0,0,none
ACCT-001555,CLUSTER-0048,1,0.0,0,0,none
ACCT-002251,CLUSTER-0049,1,0.0,0,0,none
ACCT-001093,CLUSTER-0050,1,0.0,0,0,none
ACCT-000279,CLUSTER-0051,1,0.0,0,0,none
ACCT-001220,CLUSTER-0052,1,0.0,0,0,none
ACCT-001164,CLUSTER-0053,1,0.0,0,0,none
ACCT-000668,CLUSTER-0054,1,0.0,0,0,none
ACCT-002921,CLUSTER-0055,1,0.0,0,0,none
ACCT-001204,CLUSTER-0056,1,0.0,0,0,none
ACCT-000860,CLUSTER-0057,1,0.0,0,0,none
ACCT-001814,CLUSTER-0058,1,0.0,0,0,none
ACCT-002167,CLUSTER-0059,1,0.0,0,0,none
ACCT-000524,CLUSTER-0060,1,0.0,0,0,none
ACCT-000221,CLUSTER-0061,1,0.0,0,0,none
ACCT-003210,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-003211,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-003212,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-003213,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-003214,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-003215,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-003216,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-003217,CLUSTER-0062,8,0.24,0,1,fraud_ring
ACCT-001022,CLUSTER-0063,1,0.0,0,0,none
ACCT-001002,CLUSTER-0064,1,0.0,0,0,none
ACCT-000176,CLUSTER-0065,1,0.0,0,0,none
ACCT-001191,CLUSTER-0066,1,0.0,0,0,none
ACCT-001202,CLUSTER-0067,1,0.0,0,0,none
ACCT-001564,CLUSTER-0068,1,0.0,0,0,none
ACCT-002552,CLUSTER-0069,1,0.0,0,0,none
ACCT-002681,CLUSTER-0070,1,0.0,0,0,none
ACCT-000981,CLUSTER-0071,1,0.0,0,0,none
ACCT-000021,CLUSTER-0072,1,0.0,0,0,none
ACCT-001096,CLUSTER-0073,1,0.0,0,0,none
ACCT-001129,CLUSTER-0074,1,0.0,0,0,none
ACCT-002684,CLUSTER-0075,1,0.0,0,0,none
ACCT-002215,CLUSTER-0076,1,0.0,0,0,none
ACCT-002441,CLUSTER-0077,1,0.0,0,0,none
ACCT-001705,CLUSTER-0078,1,0.0,0,0,none
ACCT-000048,CLUSTER-0079,1,0.0,0,0,none
ACCT-003218,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003219,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003220,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003221,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003222,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003223,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003224,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003226,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003227,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003228,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-003229,CLUSTER-0080,11,0.5379,1,1,fraud_ring
ACCT-001374,CLUSTER-0081,1,0.0,0,0,none
ACCT-000326,CLUSTER-0082,1,0.0,0,0,none
ACCT-002543,CLUSTER-0083,1,0.0,0,0,none
ACCT-001603,CLUSTER-0084,1,0.0,0,0,none
ACCT-002051,CLUSTER-0085,1,0.0,0,0,none
ACCT-002172,CLUSTER-0086,1,0.0,0,0,none
ACCT-000690,CLUSTER-0087,1,0.0,0,0,none
ACCT-003290,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003291,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003292,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003293,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003294,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003295,CLUSTER-0088,12,0.5042,1,1,fraud_ring
ACCT-003296,CLUSTER-0088,12,0.5042,1,1,fraud_ring
