path,composite_suspicion_score,recommended_action,reasons
data/evidence_samples\authentic_000.jpg,0.4242,accept,73 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_001.jpg,0.35,accept,56 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_002.jpg,0.5047,manual_review,ELA block anomaly z-score 4.72 — one region re-compresses very differently from the rest of the image | 24 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_003.jpg,0.6754,manual_review,ELA block anomaly z-score 5.79 — one region re-compresses very differently from the rest of the image | Inconsistent compression across image quadrants (CV=0.37) — suggests mixed edit history | 57 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_004.jpg,0.4753,manual_review,Inconsistent compression across image quadrants (CV=0.53) — suggests mixed edit history | 23 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_005.jpg,0.4931,manual_review,54 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_006.jpg,0.4496,accept,41 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_007.jpg,0.4863,manual_review,35 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_008.jpg,0.5157,manual_review,ELA block anomaly z-score 4.84 — one region re-compresses very differently from the rest of the image | 31 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_009.jpg,0.4702,manual_review,43 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_010.jpg,0.4932,manual_review,32 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_011.jpg,0.35,accept,93 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_012.jpg,0.6376,manual_review,ELA block anomaly z-score 6.07 — one region re-compresses very differently from the rest of the image | 46 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_013.jpg,0.4159,accept,38 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_014.jpg,0.4567,manual_review,23 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_015.jpg,0.5859,manual_review,Inconsistent compression across image quadrants (CV=0.59) — suggests mixed edit history | 51 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_016.jpg,0.3731,accept,44 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_017.jpg,0.5894,manual_review,Inconsistent compression across image quadrants (CV=0.48) — suggests mixed edit history | 59 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_018.jpg,0.35,accept,46 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_019.jpg,0.5553,manual_review,ELA block anomaly z-score 4.95 — one region re-compresses very differently from the rest of the image | 45 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_020.jpg,0.4705,manual_review,25 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_021.jpg,0.55,manual_review,Inconsistent compression across image quadrants (CV=1.12) — suggests mixed edit history | 48 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_022.jpg,0.4789,manual_review,62 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_023.jpg,0.35,accept,52 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_024.jpg,0.5253,manual_review,ELA block anomaly z-score 4.95 — one region re-compresses very differently from the rest of the image | 55 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_025.jpg,0.419,accept,62 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_026.jpg,0.4846,manual_review,46 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_027.jpg,0.3992,accept,73 near-duplicate region(s) found far apart in the image — possible copy-move edit
data/evidence_samples\authentic_028.jpg,0.376,accept,81 near-duplicate region(s) found far apart in the image — possible copy-move edit
