txn_id,hour,is_night,is_weekend,amount_inr,transaction_type,channel,account_age_days,is_new_account,avg_amount_last_30d,amount_to_avg_ratio,txn_count_last_24h,txn_count_last_1h,new_device_flag,new_beneficiary_flag,sim_recently_changed_flag,upi_pin_reset_last_7d,failed_otp_attempts_last_1h,login_location_mismatch_flag,fraud_probability,recommended_action,top_risk_factors
TXN138712,8,0,0,286.84,P2P Transfer,NetBanking,91.0,0,685.19,0.419,3,2,0,0,0,0,0,1,0.45,step_up_auth,txn_count_last_1h=2.0 (+1.094); login_location_mismatch_flag=1.0 (+0.668); is_night=0.0 (-0.298)
TXN136632,10,0,1,255.19,Bill Payment,Card,80.0,0,49.0,5.208,1,1,0,0,0,0,0,0,0.3707,step_up_auth,amount_to_avg_ratio=5.208 (+0.788); txn_count_last_1h=1.0 (+0.481); is_night=0.0 (-0.298)
TXN132462,23,0,1,907.19,P2P Transfer,Card,18.0,0,421.29,2.153,1,0,0,0,0,0,0,0,0.1977,step_up_auth,account_age_days=18.0 (+0.420); is_night=0.0 (-0.298); transaction_type_P2P Transfer=1.0 (+0.191)
TXN127213,0,1,1,1176.55,Bill Payment,IMPS,54.0,0,667.72,1.762,1,0,0,0,0,0,0,0,0.4851,step_up_auth,is_night=1.0 (+1.088); account_age_days=54.0 (+0.345); new_device_flag=0.0 (-0.152)
TXN102289,9,0,0,2244.57,Merchant Payment,UPI,306.0,0,1691.87,1.327,2,0,0,1,0,0,1,0,0.513,step_up_auth,new_beneficiary_flag=1.0 (+1.567); failed_otp_attempts_last_1h=1.0 (+0.725); is_night=0.0 (-0.298)
TXN100236,15,0,0,1323.22,Wallet Top-up,IMPS,60.0,0,757.81,1.746,4,0,1,0,0,0,0,0,0.4532,step_up_auth,new_device_flag=1.0 (+1.297); account_age_days=60.0 (+0.333); is_night=0.0 (-0.298)
TXN157294,11,0,0,2218.95,P2P Transfer,NetBanking,31.0,0,1703.59,1.303,0,0,0,0,0,0,0,0,0.151,step_up_auth,account_age_days=31.0 (+0.393); is_night=0.0 (-0.298); transaction_type_P2P Transfer=1.0 (+0.191)
TXN156386,22,0,0,756.65,P2P Transfer,UPI,83.0,0,160.61,4.711,2,1,1,0,0,0,0,1,0.8563,manual_review,new_device_flag=1.0 (+1.297); amount_to_avg_ratio=4.711 (+0.682); login_location_mismatch_flag=1.0 (+0.668)
TXN154505,12,0,0,1006.17,Loan EMI Payment,UPI,12.0,0,631.07,1.594,1,0,1,0,0,0,0,0,0.389,step_up_auth,new_device_flag=1.0 (+1.297); account_age_days=12.0 (+0.432); is_night=0.0 (-0.298)
TXN159648,11,0,0,694.31,Bill Payment,NetBanking,301.0,0,830.97,0.836,1,0,0,1,0,0,0,1,0.3994,step_up_auth,new_beneficiary_flag=1.0 (+1.567); login_location_mismatch_flag=1.0 (+0.668); is_night=0.0 (-0.298)
TXN151452,8,0,0,418.91,Bill Payment,UPI,41.0,0,730.17,0.574,1,0,0,0,0,0,0,0,0.1112,step_up_auth,account_age_days=41.0 (+0.372); is_night=0.0 (-0.298); amount_to_avg_ratio=0.574 (-0.202)
TXN108602,6,0,0,261.69,Merchant Payment,UPI,23.0,0,214.55,1.22,6,1,0,0,0,0,0,0,0.1904,step_up_auth,txn_count_last_1h=1.0 (+0.481); account_age_days=23.0 (+0.410); is_night=0.0 (-0.298)
TXN138441,5,1,1,2022.36,P2P Transfer,UPI,172.0,0,1522.98,1.328,2,0,0,0,0,0,0,0,0.4423,step_up_auth,is_night=1.0 (+1.088); transaction_type_P2P Transfer=1.0 (+0.191); new_device_flag=0.0 (-0.152)
TXN159475,3,1,1,5014.29,P2P Transfer,UPI,77.0,0,6344.11,0.79,1,0,0,0,0,0,0,0,0.476,step_up_auth,is_night=1.0 (+1.088); amount_inr=5014.29 (+0.339); account_age_days=77.0 (+0.298)
TXN119676,1,1,1,531.61,P2P Transfer,UPI,202.0,0,366.5,1.451,3,1,0,0,0,0,0,0,0.5736,step_up_auth,is_night=1.0 (+1.088); txn_count_last_1h=1.0 (+0.481); transaction_type_P2P Transfer=1.0 (+0.191)
TXN151240,3,1,0,265.04,Bill Payment,UPI,424.0,0,265.93,0.997,1,0,0,1,0,0,0,0,0.5827,step_up_auth,new_beneficiary_flag=1.0 (+1.567); is_night=1.0 (+1.088); account_age_days=424.0 (-0.421)
TXN158040,4,1,1,163.28,Loan EMI Payment,IMPS,48.0,0,267.5,0.61,1,1,0,0,0,1,0,0,0.6661,step_up_auth,is_night=1.0 (+1.088); upi_pin_reset_last_7d=1.0 (+0.529); txn_count_last_1h=1.0 (+0.481)
TXN135528,14,0,1,6930.53,Merchant Payment,IMPS,526.0,0,3669.05,1.889,2,0,0,0,0,0,0,0,0.0902,step_up_auth,account_age_days=526.0 (-0.632); amount_inr=6930.53 (+0.495); is_night=0.0 (-0.298)
TXN110095,19,0,1,978.83,P2P Transfer,Card,140.0,0,675.47,1.449,2,0,0,0,0,0,0,0,0.143,step_up_auth,is_night=0.0 (-0.298); transaction_type_P2P Transfer=1.0 (+0.191); account_age_days=140.0 (+0.167)
TXN105067,0,1,0,2385.06,P2P Transfer,UPI,439.0,0,1420.13,1.679,1,1,0,0,0,0,0,0,0.4688,step_up_auth,is_night=1.0 (+1.088); txn_count_last_1h=1.0 (+0.481); account_age_days=439.0 (-0.452)
