txn_id,hour,is_night,is_weekend,amount_inr,transaction_type,channel,account_age_days,is_new_account,avg_amount_last_30d,amount_to_avg_ratio,txn_count_last_24h,txn_count_last_1h,new_device_flag,new_beneficiary_flag,sim_recently_changed_flag,upi_pin_reset_last_7d,failed_otp_attempts_last_1h,login_location_mismatch_flag,is_fraud
TXN156503,19,0,0,238.53,Merchant Payment,Card,23.0,0,237.69,1.004,1,0,0,0,0,0,0,0,0
TXN113827,17,0,0,1215.98,Merchant Payment,UPI,225.0,0,1185.73,1.026,2,0,1,0,0,0,0,0,0
TXN133386,2,1,1,1572.18,Merchant Payment,UPI,265.0,0,882.42,1.782,1,0,0,0,0,0,0,1,0
TXN155335,22,0,0,373.56,Merchant Payment,NetBanking,55.0,0,508.95,0.734,2,0,0,0,0,0,0,0,0
TXN103573,7,0,0,1343.75,Wallet Top-up,IMPS,34.0,0,1064.1,1.263,1,0,0,0,0,1,1,0,0
TXN122268,8,0,0,2147.53,Bill Payment,UPI,657.0,0,2065.04,1.04,1,0,0,0,0,0,0,0,0
TXN107772,13,0,1,766.99,P2P Transfer,UPI,190.0,0,563.76,1.36,0,0,0,0,0,0,0,0,0
TXN125820,7,0,1,654.7,P2P Transfer,UPI,587.0,0,366.04,1.789,0,0,0,0,0,1,0,0,0
TXN133084,20,0,1,487.97,Cash Withdrawal (UPI ATM),UPI,116.0,0,851.74,0.573,3,0,0,0,0,0,0,0,0
TXN106618,7,0,1,461.94,P2P Transfer,IMPS,125.0,0,170.18,2.714,1,1,0,0,0,0,0,1,0
TXN110302,3,1,1,2090.54,Merchant Payment,Card,406.0,0,2290.1,0.913,1,0,0,0,0,0,0,0,0
TXN103287,4,1,0,205.36,Bill Payment,UPI,245.0,0,197.74,1.039,0,0,0,0,0,0,0,1,0
TXN120943,13,0,0,460.92,P2P Transfer,NetBanking,27.0,0,538.79,0.855,1,0,0,0,0,0,0,0,0
TXN112884,15,0,0,191.6,Bill Payment,UPI,89.0,0,49.0,3.91,3,1,0,0,0,0,0,0,0
TXN132760,7,0,0,213.14,Merchant Payment,NetBanking,30.0,0,49.0,4.35,4,1,0,1,0,0,0,0,0
TXN146563,9,0,0,523.93,P2P Transfer,UPI,653.0,0,300.1,1.746,1,0,0,0,0,0,0,0,0
TXN149013,18,0,1,563.9,P2P Transfer,NetBanking,271.0,0,282.16,1.999,3,0,1,0,0,0,0,0,0
TXN147701,0,1,1,386.74,Merchant Payment,UPI,315.0,0,251.08,1.54,1,0,0,0,0,0,0,0,0
TXN139424,4,1,0,324.02,P2P Transfer,UPI,605.0,0,838.57,0.386,1,0,0,0,0,0,1,0,0
TXN109425,14,0,0,278.71,Merchant Payment,IMPS,213.0,0,466.04,0.598,1,0,0,0,0,0,0,0,0
TXN152703,7,0,0,831.75,P2P Transfer,UPI,22.0,0,723.0,1.15,1,1,0,0,0,0,0,0,0
TXN126876,7,0,0,848.65,P2P Transfer,IMPS,78.0,0,540.47,1.57,1,1,1,0,0,0,0,0,0
TXN134170,12,0,1,387.32,Loan EMI Payment,UPI,553.0,0,280.52,1.381,1,0,1,0,0,0,0,0,0
TXN127498,16,0,1,508.41,P2P Transfer,UPI,252.0,0,358.34,1.419,1,0,0,1,0,0,0,0,0
TXN147170,10,0,0,2580.34,Merchant Payment,UPI,632.0,0,3266.95,0.79,3,1,0,0,0,0,0,0,0
TXN102794,1,1,0,1188.95,Bill Payment,UPI,94.0,0,786.4,1.512,1,1,0,0,0,0,0,0,0
TXN141923,6,0,0,2647.48,Merchant Payment,NetBanking,135.0,0,2229.65,1.187,0,0,0,0,0,0,0,0,0
TXN117632,12,0,0,652.38,P2P Transfer,UPI,167.0,0,830.98,0.785,2,1,0,1,0,0,0,0,0
